iter	Passed	Remaining
0	59	119060
1	112	112504
2	164	109338
3	222	110885
4	270	107795
5	321	106702
6	378	107787
7	439	109404
8	488	108047
9	541	107807
10	603	109174
11	656	108782
12	716	109485
13	764	108417
14	811	107384
15	868	107742
16	928	108275
17	975	107415
18	1032	107676
19	1094	108323
20	1151	108489
21	1197	107692
22	1255	107910
23	1310	107866
24	1360	107478
25	1414	107405
26	1466	107188
27	1525	107466
28	1574	107035
29	1626	106802
30	1686	107130
31	1734	106691
32	1786	106509
33	1835	106145
34	1893	106297
35	1941	105927
36	1999	106075
37	2047	105702
38	2107	105960
39	2155	105629
40	2204	105319
41	2260	105380
42	2306	104960
43	2362	105032
44	2417	105030
45	2468	104877
46	2519	104674
47	2577	104813
48	2639	105088
49	2687	104808
50	2736	104589
51	2793	104636
52	2852	104786
53	2898	104462
54	2951	104378
55	3004	104312
56	3060	104340
57	3112	104198
58	3170	104293
59	3218	104059
60	3276	104163
61	3328	104041
62	3376	103811
63	3431	103791
64	3484	103731
65	3542	103809
66	3603	103957
67	3651	103757
68	3703	103653
69	3758	103619
70	3804	103351
71	3860	103375
72	3922	103544
73	3970	103342
74	4023	103277
75	4081	103327
76	4129	103141
77	4179	102976
78	4238	103064
79	4286	102873
80	4345	102946
81	4396	102823
82	4450	102787
83	4499	102638
84	4550	102529
85	4602	102434
86	4662	102516
87	4723	102635
88	4770	102442
89	4827	102453
90	4890	102598
91	4939	102448
92	5002	102581
93	5062	102658
94	5111	102497
95	5169	102524
96	5230	102617
97	5280	102481
98	5335	102451
99	5392	102455
100	5445	102380
101	5493	102231
102	5549	102201
103	5610	102279
104	5658	102124
105	5714	102103
106	5776	102187
107	5826	102069
108	5889	102177
109	5940	102061
110	5991	101966
111	6049	101982
112	6111	102052
113	6160	101911
114	6212	101835
115	6271	101852
116	6317	101681
117	6376	101692
118	6434	101710
119	6486	101623
120	6537	101514
121	6596	101537
122	6646	101419
123	6695	101300
124	6746	101197
125	6804	101208
126	6853	101079
127	6913	101105
128	6961	100963
129	7029	101110
130	7078	100991
131	7135	100984
132	7197	101034
133	7246	100915
134	7299	100840
135	7356	100834
136	7406	100720
137	7462	100683
138	7517	100650
139	7579	100698
140	7629	100591
141	7679	100482
142	7738	100486
143	7787	100372
144	7848	100412
145	7898	100297
146	7947	100180
147	8007	100201
148	8058	100105
149	8109	100017
150	8166	99994
151	8212	99851
152	8270	99841
153	8327	99823
154	8389	99857
155	8438	99746
156	8488	99644
157	8546	99631
158	8593	99505
159	8645	99426
160	8702	99400
161	8750	99279
162	8800	99176
163	8854	99126
164	8915	99149
165	8964	99042
166	9019	98995
167	9080	99017
168	9130	98925
169	9180	98827
170	9231	98744
171	9288	98721
172	9335	98591
173	9392	98563
174	9449	98548
175	9498	98440
176	9549	98352
177	9608	98348
178	9656	98237
179	9714	98229
180	9774	98230
181	9821	98110
182	9879	98095
183	9941	98114
184	9990	98010
185	10041	97932
186	10090	97824
187	10148	97809
188	10208	97814
189	10256	97703
190	10314	97692
191	10375	97704
192	10434	97693
193	10484	97600
194	10533	97501
195	10593	97505
196	10643	97414
197	10703	97413
198	10752	97315
199	10813	97320
200	10861	97216
201	10910	97113
202	10969	97105
203	11038	97181
204	11088	97088
205	11138	97000
206	11187	96906
207	11246	96889
208	11303	96861
209	11351	96755
210	11406	96708
211	11460	96658
212	11505	96529
213	11556	96449
214	11612	96409
215	11660	96310
216	11713	96243
217	11774	96246
218	11823	96154
219	11879	96119
220	11941	96124
221	11990	96029
222	12061	96109
223	12111	96023
224	12161	95940
225	12219	95918
226	12281	95926
227	12343	95933
228	12393	95843
229	12446	95783
230	12504	95760
231	12559	95709
232	12607	95611
233	12660	95549
234	12714	95490
235	12775	95489
236	12822	95381
237	12879	95348
238	12940	95348
239	12994	95294
240	13058	95314
241	13109	95231
242	13169	95222
243	13230	95215
244	13280	95133
245	13336	95093
246	13398	95088
247	13452	95032
248	13503	94957
249	13550	94856
250	13607	94820
251	13658	94741
252	13708	94655
253	13758	94573
254	13813	94528
255	13859	94420
